date,open,high,low,close
2025-05-25,456.7627,456.7752,454.6960,456.7564
2025-05-26,454.6815,453.3257,452.3850,454.7161
2025-05-27,453.8907,451.9390,448.5029,453.3589
2025-05-28,451.4224,451.5389,445.1176,451.5666
2025-05-29,443.8802,453.1339,444.2692,445.9142
2025-05-30,452.1346,450.8342,448.4730,451.1725
2025-05-31,450.1708,450.1773,450.1491,450.1712
2025-06-01,450.1749,453.8144,450.1570,450.1712
2025-06-02,453.0005,464.0619,451.8820,453.2764
2025-06-03,463.4760,461.2320,456.4838,463.1955
2025-06-04,458.5215,461.3436,457.7530,459.2084
2025-06-05,461.2143,462.5306,456.1933,461.0000
2025-06-06,457.1983,458.4231,450.1642,457.4313
2025-06-07,449.9662,449.9966,449.9326,449.9559
2025-06-08,449.9549,451.3383,449.9326,449.9588
2025-06-09,450.9777,453.4810,449.6430,450.7653
2025-06-10,452.5001,455.3152,449.9998,451.8197
2025-06-11,453.1028,458.9570,452.8002,452.9660
2025-06-12,458.4204,461.0958,454.9703,457.2605
2025-06-13,460.6772,467.3113,463.8617,461.6173
2025-06-14,468.6130,468.6379,468.6096,468.5990
2025-06-15,468.6008,471.0211,468.6037,468.5898
2025-06-16,470.0828,470.0124,462.2132,469.7281
2025-06-17,464.1208,463.4665,460.0676,464.2598
2025-06-18,461.2528,462.9228,459.9293,462.6551
2025-06-19,461.2048,462.7244,459.2021,461.5470
2025-06-20,461.3355,460.7009,457.9802,460.2440
2025-06-21,460.4902,460.6437,460.4365,460.4866
2025-06-22,460.4950,462.7313,460.4335,460.5366
2025-06-23,461.2136,463.8823,461.7885,461.8244
2025-06-24,460.7459,457.2730,454.1615,457.9748
2025-06-25,452.7005,454.5165,451.8782,453.4174
2025-06-26,455.0102,454.2171,451.2323,453.0255
2025-06-27,451.1367,451.5942,443.0500,451.0000
2025-06-28,445.1303,445.1238,445.0748,445.1302
2025-06-29,445.1308,445.4194,441.7736,445.1075
2025-06-30,443.7333,448.5145,443.2123,444.0666
2025-07-01,448.4829,451.4061,448.2492,447.0561
2025-07-02,450.5026,454.1665,452.5323,452.2573
2025-07-03,455.3800,455.8563,450.5984,454.3950
2025-07-04,452.1309,453.4540,453.0051,452.2105
2025-07-05,452.8428,452.8598,452.7291,452.8255
2025-07-06,452.6869,453.4873,451.5153,452.6964
2025-07-07,451.6624,453.5972,449.7828,450.9334
2025-07-08,454.1673,454.6473,448.9878,454.5255
2025-07-09,450.1996,452.8099,449.1911,450.5897
2025-07-10,453.3533,454.3323,452.9697,453.4288
2025-07-11,454.6673,459.9254,455.5609,455.1796
2025-07-12,458.8066,458.8678,458.7542,458.7815
2025-07-13,458.8137,461.1923,458.7596,458.7692
